variable,run,channel,chi2,dof,p_0
m_vis,355768,ee,12.4637509956,22,0.984364298009 +/- 0.0646913713012
m_vis,355769,ee,127.604012001,39,0.948001625102 +/- 0.019654738123
pt_vis,355443,ee,24.9760551961,19,0.90886194168 +/- 0.0675507080474
pt_vis,355444,ee,32.1221748622,13,0.649094249542 +/- 0.0919081464255
pt_vis,355445,ee,17.6534445509,16,0.933324219428 +/- 0.0758658390252
pt_vis,355558,ee,121.176145171,36,0.890797322387 +/- 0.0285896397753
pt_vis,355559,ee,104.243703263,31,0.841962030898 +/- 0.0366154799255
pt_vis,355679,ee,13.4950130796,20,0.962146031842 +/- 0.0663146983744
pt_vis,355680,ee,152.636153366,38,0.981448681087 +/- 0.0110426049806
pt_vis,355768,ee,19.205283017,19,0.946168549267 +/- 0.0631066981503
pt_vis,355769,ee,49.2880280546,36,0.981265824126 +/- 0.0200521077973
deltaetaSC_1_barrel,355443,ee,7.96025856224,3,0.948224664405 +/- 0.0828342098475
deltaetaSC_1_barrel,355444,ee,1.16554215097,3,0.98489185829 +/- 0.133003102099
deltaetaSC_1_barrel,355445,ee,12.5860833346,4,0.89685135202 +/- 0.0869403237576
deltaetaSC_1_barrel,355558,ee,42.3892252918,5,0.943034300654 +/- 0.0356024073159
deltaetaSC_1_barrel,355559,ee,23.4082073384,5,0.94506024179 +/- 0.0471006645285
deltaetaSC_1_barrel,355679,ee,9.09928454045,5,0.943491774947 +/- 0.0765522938735
deltaetaSC_1_barrel,355680,ee,204.793012938,5,0.965538147188 +/- 0.012748439574
deltaetaSC_1_barrel,355768,ee,0.407704339696,4,1.00059576824 +/- 0.0750838617222
deltaetaSC_1_barrel,355769,ee,57.1784155835,5,0.968592599676 +/- 0.0230694354583
deltaetaSC_2_barrel,355443,ee,16.7320545253,11,0.905667377944 +/- 0.0736368615991
deltaetaSC_2_barrel,355444,ee,5.83462181316,8,0.979535895771 +/- 0.128436386253
deltaetaSC_2_barrel,355445,ee,20.966726073,11,0.854714345121 +/- 0.0800396528628
deltaetaSC_2_barrel,355558,ee,75.4889060852,14,0.916255307078 +/- 0.0320456935828
deltaetaSC_2_barrel,355559,ee,27.9401572999,13,0.94746423839 +/- 0.0427994579298
deltaetaSC_2_barrel,355679,ee,11.3019071776,13,0.935809261569 +/- 0.0757304491551
deltaetaSC_2_barrel,355680,ee,260.746424103,16,0.954022711926 +/- 0.0129895179613
deltaetaSC_2_barrel,355768,ee,13.4718362718,11,0.930662469237 +/- 0.0751100710351
deltaetaSC_2_barrel,355769,ee,41.1838793516,15,0.976923173322 +/- 0.0237651569629
eInvMinusPInv_1_barrel,355443,ee,9.28516710027,3,0.933254820429 +/- 0.0819417852385
eInvMinusPInv_1_barrel,355444,ee,3.91851697028,3,0.931127379485 +/- 0.129023086213
eInvMinusPInv_1_barrel,355445,ee,5.80853232574,2,0.951395407616 +/- 0.0894240232477
eInvMinusPInv_1_barrel,355558,ee,37.9428623016,5,0.949040069843 +/- 0.03571614895
eInvMinusPInv_1_barrel,355559,ee,12.7176673777,2,0.970357042021 +/- 0.0477318362352
eInvMinusPInv_1_barrel,355679,ee,11.7019735995,4,0.927342457417 +/- 0.075894990439
eInvMinusPInv_1_barrel,355680,ee,211.189479346,7,0.964109515262 +/- 0.0127400156673
eInvMinusPInv_1_barrel,355768,ee,14.7044425371,3,0.917444431294 +/- 0.0717947328927
eInvMinusPInv_1_barrel,355769,ee,101.843070088,6,0.944043581804 +/- 0.0227751176934
eInvMinusPInv_2_barrel,355443,ee,2.98160037139,5,0.988575587189 +/- 0.0769562143993
eInvMinusPInv_2_barrel,355444,ee,2.21747802716,5,0.982044738413 +/- 0.125962686693
eInvMinusPInv_2_barrel,355445,ee,7.98158436792,4,0.952617492387 +/- 0.0851984230812
eInvMinusPInv_2_barrel,355558,ee,14.5003910135,9,0.987080256848 +/- 0.0333408449666
eInvMinusPInv_2_barrel,355559,ee,14.1383082515,9,0.973150325484 +/- 0.0433965951108
eInvMinusPInv_2_barrel,355679,ee,5.05014615892,5,0.98215260587 +/- 0.0779020536749
eInvMinusPInv_2_barrel,355680,ee,95.2638591161,11,0.983287375038 +/- 0.0131990992762
eInvMinusPInv_2_barrel,355768,ee,9.74294559489,7,0.9468214919 +/- 0.0755027967842
eInvMinusPInv_2_barrel,355769,ee,33.9334177775,12,0.980328821243 +/- 0.0238391857295
hoe_1_barrel,355443,ee,13.904560161,5,0.904160460588 +/- 0.0808397146688
hoe_1_barrel,355444,ee,1.84596110724,5,0.976531302406 +/- 0.132699944967
hoe_1_barrel,355445,ee,26.2823867151,5,0.782769896206 +/- 0.0812929705264
hoe_1_barrel,355558,ee,7.47762501445,8,0.98999248671 +/- 0.0364786641601
hoe_1_barrel,355559,ee,19.9776024104,7,0.953377406406 +/- 0.0473140211732
hoe_1_barrel,355679,ee,7.84269473264,5,0.960627873626 +/- 0.0776222675966
hoe_1_barrel,355680,ee,128.297226675,7,0.978685214419 +/- 0.0128367170671
hoe_1_barrel,355768,ee,3.11516344869,4,0.995477717378 +/- 0.0752758148801
hoe_1_barrel,355769,ee,28.5966716752,7,0.984569667773 +/- 0.0232621452784
hoe_2_barrel,355443,ee,8.31216741833,7,0.960163754503 +/- 0.0759817679394
hoe_2_barrel,355444,ee,5.17866553225,6,0.93318171752 +/- 0.121674280048
hoe_2_barrel,355445,ee,10.5520483656,7,0.924631687842 +/- 0.0828848005268
hoe_2_barrel,355558,ee,39.1994248621,8,0.956852453166 +/- 0.0327466405821
hoe_2_barrel,355559,ee,7.78132359217,8,0.987189725427 +/- 0.0437041271205
hoe_2_barrel,355679,ee,12.4593498916,5,0.950411637732 +/- 0.0772053102563
hoe_2_barrel,355680,ee,350.752297203,9,0.937974836923 +/- 0.0128789153656
hoe_2_barrel,355768,ee,3.60238839031,8,0.979195081874 +/- 0.0766031046348
hoe_2_barrel,355769,ee,73.2052828845,8,0.958459296135 +/- 0.0235400997228
scEtOverPt_1_barrel,355443,ee,21.7526783371,13,0.835183584161 +/- 0.0802737163941
scEtOverPt_1_barrel,355444,ee,13.9073926688,11,0.771189257814 +/- 0.12179482093
scEtOverPt_1_barrel,355445,ee,24.0171400363,11,0.824168228336 +/- 0.084565505134
scEtOverPt_1_barrel,355558,ee,14.0292089233,13,0.983766950728 +/- 0.0367401983775
scEtOverPt_1_barrel,355559,ee,20.8551714758,14,0.950738358804 +/- 0.0477676659486
scEtOverPt_1_barrel,355679,ee,13.2727336557,12,0.940362828088 +/- 0.078989387856
scEtOverPt_1_barrel,355680,ee,191.616668874,16,0.966919783892 +/- 0.012928649281
scEtOverPt_1_barrel,355768,ee,3.89909221129,12,0.987316874358 +/- 0.0761502845125
scEtOverPt_1_barrel,355769,ee,43.8798401184,14,0.976077556438 +/- 0.0234460663603
scEtOverPt_2_barrel,355443,ee,3.6157935562,13,0.992381218536 +/- 0.0791039120839
scEtOverPt_2_barrel,355444,ee,18.9383194844,10,0.742913742306 +/- 0.118867445624
scEtOverPt_2_barrel,355445,ee,12.5748573092,12,0.918157978139 +/- 0.0843714385424
scEtOverPt_2_barrel,355558,ee,20.9881112826,15,0.976021177558 +/- 0.0338575573314
scEtOverPt_2_barrel,355559,ee,20.7793233993,14,0.959896999964 +/- 0.044079269788
scEtOverPt_2_barrel,355679,ee,6.30019807434,14,0.962721304063 +/- 0.0797574208835
scEtOverPt_2_barrel,355680,ee,145.74277962,18,0.972823319441 +/- 0.0135058904559
scEtOverPt_2_barrel,355768,ee,32.6100844171,13,0.801712773116 +/- 0.0718830037309
scEtOverPt_2_barrel,355769,ee,43.8866828059,15,0.97384443626 +/- 0.0243986756357
sieie_1_barrel,355443,ee,1.58180485931,1,0.989299435938 +/- 0.0843928476353
sieie_1_barrel,355444,ee,0.0,0,1.01722888268 +/- 0.135932927246
sieie_1_barrel,355445,ee,1.2432959406,2,0.989552134953 +/- 0.0911897152055
sieie_1_barrel,355558,ee,1.44339580969,1,0.998745765437 +/- 0.0366513662528
sieie_1_barrel,355559,ee,3.66259657738,1,0.992083594276 +/- 0.048274579018
sieie_1_barrel,355679,ee,2.59223181277,1,0.98457526433 +/- 0.0782277218873
sieie_1_barrel,355680,ee,0.617748141617,2,0.999896019501 +/- 0.012973215837
sieie_1_barrel,355768,ee,0.311975193366,1,0.9989332727 +/- 0.0749389146882
sieie_1_barrel,355769,ee,0.312493383369,2,0.999828300339 +/- 0.0234383491095
sieie_2_barrel,355443,ee,2.41880902853,1,0.986597125179 +/- 0.0766715679293
sieie_2_barrel,355444,ee,1.0760561839,2,0.983186622127 +/- 0.123944709329
sieie_2_barrel,355445,ee,0.46014503862,1,0.997597407921 +/- 0.0860062148006
sieie_2_barrel,355558,ee,3.67585462374,2,0.995883701429 +/- 0.0333947797087
sieie_2_barrel,355559,ee,0.453483833249,2,0.999124548584 +/- 0.0439182407418
sieie_2_barrel,355679,ee,6.47446840122,1,0.961491017311 +/- 0.0766072291298
sieie_2_barrel,355680,ee,13.9877468273,2,0.997526481551 +/- 0.0132814628637
sieie_2_barrel,355768,ee,1.37301366883,1,0.992779392889 +/- 0.0771413445257
sieie_2_barrel,355769,ee,2.77625016084,2,0.998396158197 +/- 0.024016123967
lostHits_1_barrel,355443,ee,0.0,0,1.0 +/- 0.0857492925713
lostHits_1_barrel,355444,ee,0.0,0,1.0 +/- 0.136082763488
lostHits_1_barrel,355445,ee,0.0,0,1.0 +/- 0.0924500327042
lostHits_1_barrel,355558,ee,0.0,0,1.0 +/- 0.0371904001653
lostHits_1_barrel,355559,ee,0.0,0,1.0 +/- 0.0490880693674
lostHits_1_barrel,355679,ee,0.0,0,1.0 +/- 0.0800640769025
lostHits_1_barrel,355680,ee,0.0,0,1.0 +/- 0.0131238568388
lostHits_1_barrel,355768,ee,0.0,0,1.0 +/- 0.0762492851663
lostHits_1_barrel,355769,ee,0.0,0,1.0 +/- 0.0237960378136
lostHits_2_barrel,355443,ee,0.0,0,1.0 +/- 0.0842151921067
lostHits_2_barrel,355444,ee,0.0,0,1.0 +/- 0.130188910981
lostHits_2_barrel,355445,ee,0.0,0,1.0 +/- 0.0883883476483
lostHits_2_barrel,355558,ee,0.0,0,1.0 +/- 0.0357142857143
lostHits_2_barrel,355559,ee,0.0,0,1.0 +/- 0.0465746432833
lostHits_2_barrel,355679,ee,0.0,0,1.0 +/- 0.0857492925713
lostHits_2_barrel,355680,ee,0.0,0,1.0 +/- 0.0141633966765
lostHits_2_barrel,355768,ee,0.0,0,1.0 +/- 0.0803219328902
lostHits_2_barrel,355769,ee,1.94873295493e-29,0,1.0 +/- 0.0251497727414
deltaetaSC_1_endcap,355443,ee,4.36798826403,2,0.955665297051 +/- 0.126991549162
deltaetaSC_1_endcap,355444,ee,0.694097953153,2,0.999025610093 +/- 0.202637934427
deltaetaSC_1_endcap,355445,ee,1.61841121564,3,0.965647775292 +/- 0.143343794346
deltaetaSC_1_endcap,355558,ee,12.7963410204,4,0.961630986666 +/- 0.0537397082093
deltaetaSC_1_endcap,355559,ee,7.30067776213,3,0.961248290276 +/- 0.0715084424358
deltaetaSC_1_endcap,355679,ee,2.49801671216,3,0.959790966659 +/- 0.124425941983
deltaetaSC_1_endcap,355680,ee,53.9959229374,3,0.972306941819 +/- 0.0223651603325
deltaetaSC_1_endcap,355768,ee,6.94025492127,3,0.888135874353 +/- 0.119691225769
deltaetaSC_1_endcap,355769,ee,8.72930520357,4,0.984740540317 +/- 0.0416028290255
deltaetaSC_2_endcap,355443,ee,0.999588517798,2,0.991323587337 +/- 0.198263085839
deltaetaSC_2_endcap,355444,ee,0.911878646548,2,0.943772666902 +/- 0.297140771358
deltaetaSC_2_endcap,355445,ee,1.52288460087,2,0.975041099892 +/- 0.186010454362
deltaetaSC_2_endcap,355558,ee,3.79628385264,3,0.977238647088 +/- 0.0767308896937
deltaetaSC_2_endcap,355559,ee,9.24174791631,2,0.919765297243 +/- 0.104304675146
deltaetaSC_2_endcap,355679,ee,2.22695781855,3,0.959615740285 +/- 0.132096496025
deltaetaSC_2_endcap,355680,ee,38.2844603219,4,0.982396911783 +/- 0.0212975774299
deltaetaSC_2_endcap,355768,ee,2.25975358801,3,0.967824594077 +/- 0.117590779161
deltaetaSC_2_endcap,355769,ee,18.0637646717,3,0.972316876676 +/- 0.0386786399486
eInvMinusPInv_1_endcap,355443,ee,16.8696465545,2,0.723632889282 +/- 0.108930524442
eInvMinusPInv_1_endcap,355444,ee,10.4932544181,2,0.580417786303 +/- 0.152389735489
eInvMinusPInv_1_endcap,355445,ee,23.5346747049,2,0.49938954722 +/- 0.103092283239
eInvMinusPInv_1_endcap,355558,ee,139.527986115,4,0.573710885195 +/- 0.0415697586585
eInvMinusPInv_1_endcap,355559,ee,94.9584945835,3,0.494922612642 +/- 0.0513096358593
eInvMinusPInv_1_endcap,355679,ee,4.3584937286,3,0.929741141406 +/- 0.122460037618
eInvMinusPInv_1_endcap,355680,ee,42.1553660997,4,0.975215972157 +/- 0.022403403583
eInvMinusPInv_1_endcap,355768,ee,7.103752595,2,0.888674847331 +/- 0.119942075386
eInvMinusPInv_1_endcap,355769,ee,14.7178614414,4,0.965285455209 +/- 0.0412243401883
eInvMinusPInv_2_endcap,355443,ee,4.16595071378,1,0.849092958281 +/- 0.181713877654
eInvMinusPInv_2_endcap,355444,ee,1.11642257669,1,0.90848086504 +/- 0.288973953764
eInvMinusPInv_2_endcap,355445,ee,4.68356222692,3,0.838621458312 +/- 0.170065411412
eInvMinusPInv_2_endcap,355558,ee,33.3299209876,2,0.806366879801 +/- 0.0702731034286
eInvMinusPInv_2_endcap,355559,ee,1.78529807842,2,0.980215021695 +/- 0.106185224395
eInvMinusPInv_2_endcap,355679,ee,0.581185678701,2,0.990176153137 +/- 0.134226394695
eInvMinusPInv_2_endcap,355680,ee,56.0304995199,4,0.97273418036 +/- 0.0211966943734
eInvMinusPInv_2_endcap,355768,ee,5.31016115907,3,0.924276783641 +/- 0.114916928536
eInvMinusPInv_2_endcap,355769,ee,14.464959006,4,0.973047902769 +/- 0.0387507049472
hoe_1_endcap,355443,ee,6.78563226954,16,0.991895486433 +/- 0.139975463643
hoe_1_endcap,355444,ee,3.4000540829,13,1.02369653874 +/- 0.22554759198
hoe_1_endcap,355445,ee,12.152143976,12,0.954279464738 +/- 0.166503000444
hoe_1_endcap,355558,ee,70.3479033759,19,0.765506988747 +/- 0.0505142550424
hoe_1_endcap,355559,ee,41.6335980681,19,0.755096481952 +/- 0.0666464103421
hoe_1_endcap,355679,ee,18.823213542,14,0.805242368443 +/- 0.125487478398
hoe_1_endcap,355680,ee,78.2894188802,19,0.955868422277 +/- 0.0232125177893
hoe_1_endcap,355768,ee,15.9426901512,18,0.768702248371 +/- 0.118532489626
hoe_1_endcap,355769,ee,31.2141907712,19,0.938675460175 +/- 0.0429436387648
hoe_2_endcap,355443,ee,5.4794744364,14,0.951494980854 +/- 0.221095472004
hoe_2_endcap,355444,ee,1.34099906985,7,2.09835303071 +/- 0.758215215446
hoe_2_endcap,355445,ee,3.11381917101,15,0.994936384019 +/- 0.223110300345
hoe_2_endcap,355558,ee,11.7542627457,17,0.972283562531 +/- 0.0842298993126
hoe_2_endcap,355559,ee,10.5602683186,18,0.897318984327 +/- 0.109266979834
hoe_2_endcap,355679,ee,13.4387950295,14,0.885028365863 +/- 0.146368270128
hoe_2_endcap,355680,ee,110.564431798,19,0.940203119633 +/- 0.0225497841111
hoe_2_endcap,355768,ee,18.8957672876,17,0.74144286373 +/- 0.117079964931
hoe_2_endcap,355769,ee,44.0452475888,19,0.91828339965 +/- 0.0412756559816
pt_1,355443,mmet,66.2180838516,35,0.996035747414 +/- 0.00801931467486
pt_1,355444,mmet,52.4608004253,36,0.995037607869 +/- 0.00989094233103
pt_1,355445,mmet,88.1600796366,38,0.992968159716 +/- 0.00894535420014
pt_1,355558,mmet,381.839629603,39,0.995966198715 +/- 0.00324368781731
pt_1,355559,mmet,269.121244995,39,0.995064440644 +/- 0.00427188744363
pt_1,355679,mmet,32.1774602734,34,0.996979519189 +/- 0.0105167888335
pt_1,355680,mmet,1242.50355551,39,0.996781920908 +/- 0.00160675482582
pt_1,355768,mmet,76.2697812933,34,0.993240635441 +/- 0.0099810677898
pt_1,355769,mmet,518.875558626,39,0.996010214772 +/- 0.00276741982795
eta_1,355443,mmet,45.4624552749,39,0.997067505949 +/- 0.00801963140688
eta_1,355444,mmet,69.2422282687,39,0.993196872837 +/- 0.0098783963758
eta_1,355445,mmet,63.5919289131,39,0.994877814828 +/- 0.00895182351069
eta_1,355558,mmet,330.448494643,39,0.996511975188 +/- 0.0032432405022
eta_1,355559,mmet,149.445995575,39,0.997261439307 +/- 0.00427487634886
eta_1,355679,mmet,75.0941639267,39,0.991677472689 +/- 0.0104835831757
eta_1,355680,mmet,794.726461521,39,0.997943009619 +/- 0.00160716388134
eta_1,355768,mmet,83.0752803868,39,0.991679158615 +/- 0.00996628510547
eta_1,355769,mmet,258.449955678,39,0.99801404686 +/- 0.00276926549453
phi_1,355443,mmet,64.4165319967,39,0.99584141175 +/- 0.00801806148581
phi_1,355444,mmet,33.4110672777,39,0.996715711464 +/- 0.0098983117942
phi_1,355445,mmet,79.5586282493,39,0.993586567654 +/- 0.00894961744268
phi_1,355558,mmet,69.0526597383,39,0.999270796446 +/- 0.00324844696234
phi_1,355559,mmet,81.8656463462,39,0.998499144826 +/- 0.00427850845492
phi_1,355679,mmet,41.7716715773,39,0.995365397584 +/- 0.0105088836563
phi_1,355680,mmet,193.034510585,39,0.999500073783 +/- 0.00160889200004
phi_1,355768,mmet,61.5856642012,39,0.993829710029 +/- 0.009978584975
phi_1,355769,mmet,147.582681834,39,0.998865315943 +/- 0.00277123428884
mt_uncorrected,355443,mmet,99.6250311159,38,0.993671660614 +/- 0.00801051864197
mt_uncorrected,355444,mmet,122.703958699,37,0.988177484969 +/- 0.00986094291172
mt_uncorrected,355445,mmet,161.410949064,38,0.987056529968 +/- 0.00891937561784
mt_uncorrected,355558,mmet,836.377393429,39,0.991164591986 +/- 0.00323582519019
mt_uncorrected,355559,mmet,559.466313645,39,0.989738328803 +/- 0.0042607128992
mt_uncorrected,355679,mmet,84.30487612,36,0.991105222769 +/- 0.0104870374653
mt_uncorrected,355680,mmet,2512.15711738,39,0.993492242426 +/- 0.00160425914756
mt_uncorrected,355768,mmet,145.660711375,34,0.985973380428 +/- 0.00994142040198
mt_uncorrected,355769,mmet,1344.85906909,39,0.989657157927 +/- 0.00275882367198
nTrackerLayers_1_barrel,355443,mmet,296.430026635,7,0.965251971719 +/- 0.010858167139
nTrackerLayers_1_barrel,355444,mmet,210.307208683,7,0.960383938594 +/- 0.0134935264312
nTrackerLayers_1_barrel,355445,mmet,298.889185917,7,0.954253455845 +/- 0.0121189227066
nTrackerLayers_1_barrel,355558,mmet,954.842385824,8,0.980907734427 +/- 0.00442870719975
nTrackerLayers_1_barrel,355559,mmet,725.70441049,7,0.975150962336 +/- 0.00580804191495
nTrackerLayers_1_barrel,355679,mmet,213.914329443,7,0.954545131905 +/- 0.0142818453605
nTrackerLayers_1_barrel,355680,mmet,7809.74413267,8,0.961653405482 +/- 0.00217297277341
nTrackerLayers_1_barrel,355768,mmet,202.075823668,8,0.960677987222 +/- 0.0136725528539
nTrackerLayers_1_barrel,355769,mmet,1745.524823,8,0.974614240503 +/- 0.0037648566295
nTrackerLayers_1_endcap,355443,mmet,23.5005426576,12,0.996782510589 +/- 0.0116820704882
nTrackerLayers_1_endcap,355444,mmet,21.1750352484,11,0.995758032798 +/- 0.0142530300864
nTrackerLayers_1_endcap,355445,mmet,21.7596809046,11,0.996399648519 +/- 0.0129783549071
nTrackerLayers_1_endcap,355558,mmet,82.4687395035,12,0.998156134251 +/- 0.00472410139359
nTrackerLayers_1_endcap,355559,mmet,43.7533066455,12,0.998294616985 +/- 0.00623784948319
nTrackerLayers_1_endcap,355679,mmet,53.2184545778,11,0.98782041752 +/- 0.015083809391
nTrackerLayers_1_endcap,355680,mmet,960.69191891,12,0.994741466956 +/- 0.00233343305702
nTrackerLayers_1_endcap,355768,mmet,44.7923721324,12,0.990754928352 +/- 0.0143000063388
nTrackerLayers_1_endcap,355769,mmet,215.774373717,12,0.996484557036 +/- 0.0040292608314
nStations_1_barrel,355443,mmet,2.50065602125,3,0.999695004754 +/- 0.0110421417464
nStations_1_barrel,355444,mmet,0.385744929,2,1.00105196019 +/- 0.013782249378
nStations_1_barrel,355445,mmet,0.79571273177,3,0.99987756382 +/- 0.0124036682838
nStations_1_barrel,355558,mmet,21.3897499789,3,0.999572307647 +/- 0.00447064305856
nStations_1_barrel,355559,mmet,26.840746277,3,0.999071736252 +/- 0.00587809686003
nStations_1_barrel,355679,mmet,5.5997352591,3,0.998803730985 +/- 0.0146073271991
nStations_1_barrel,355680,mmet,161.362189418,3,0.999207696137 +/- 0.00221499567755
nStations_1_barrel,355768,mmet,37.5131521353,3,0.9927003012 +/- 0.0138985587749
nStations_1_barrel,355769,mmet,66.5126965475,3,0.999032683296 +/- 0.0038117281036
nStations_1_endcap,355443,mmet,210.251192095,3,0.971214239856 +/- 0.0115312699292
nStations_1_endcap,355444,mmet,185.683656149,3,0.962120837179 +/- 0.0140096781054
nStations_1_endcap,355445,mmet,187.734081922,3,0.968266720432 +/- 0.0127933246229
nStations_1_endcap,355558,mmet,1311.90603963,3,0.970667932754 +/- 0.00465859881057
nStations_1_endcap,355559,mmet,961.118943074,3,0.962538238889 +/- 0.00612511888384
nStations_1_endcap,355679,mmet,124.762587926,3,0.971266101353 +/- 0.0149563013203
nStations_1_endcap,355680,mmet,5342.12698228,3,0.970758834638 +/- 0.00230513258939
nStations_1_endcap,355768,mmet,151.500321453,3,0.968730583807 +/- 0.0141401694807
nStations_1_endcap,355769,mmet,2060.1533228,3,0.966435534583 +/- 0.0039680445621
met_uncorrected,355443,mmet,67.1485935456,37,0.99582502178 +/- 0.0080168205541
met_uncorrected,355444,mmet,49.7075887008,32,0.995912640816 +/- 0.00989878303366
met_uncorrected,355445,mmet,80.2043629775,37,0.994010245366 +/- 0.00895221561899
met_uncorrected,355558,mmet,285.473001439,39,0.996985024012 +/- 0.00324491799302
met_uncorrected,355559,mmet,199.817290995,38,0.996369915757 +/- 0.00427409405735
met_uncorrected,355679,mmet,181.423074965,34,0.980299470526 +/- 0.0104283773294
met_uncorrected,355680,mmet,1677.42554916,39,0.995655452231 +/- 0.00160585082714
met_uncorrected,355768,mmet,497.707247646,33,0.950684314914 +/- 0.00976188873274
met_uncorrected,355769,mmet,4879.51109327,39,0.962487229825 +/- 0.00272018788059
metphi_uncorrected,355443,mmet,69.7979384194,39,0.995493127241 +/- 0.00801743566844
metphi_uncorrected,355444,mmet,72.085386032,39,0.992913351747 +/- 0.00987989887917
metphi_uncorrected,355445,mmet,71.3305776178,39,0.994250316168 +/- 0.00895224543817
metphi_uncorrected,355558,mmet,342.64682389,39,0.996381727115 +/- 0.00324369626445
metphi_uncorrected,355559,mmet,167.57773903,39,0.996927603193 +/- 0.00427525771864
metphi_uncorrected,355679,mmet,53.5114081457,39,0.994062205044 +/- 0.0105025846218
metphi_uncorrected,355680,mmet,855.139622664,39,0.997785386917 +/- 0.00160749261075
metphi_uncorrected,355768,mmet,54.8872861432,39,0.994501373859 +/- 0.00998145632824
metphi_uncorrected,355769,mmet,384.798610777,39,0.997041376205 +/- 0.00276875619888
pfmet_uncorrected,355443,mmet,114.950246902,35,0.993011610789 +/- 0.00800684346424
pfmet_uncorrected,355444,mmet,66.5492313087,34,0.994078389543 +/- 0.00988878164653
pfmet_uncorrected,355445,mmet,82.3344067368,36,0.993639698024 +/- 0.00894928856057
pfmet_uncorrected,355558,mmet,378.752660545,39,0.996000330948 +/- 0.00324312676253
pfmet_uncorrected,355559,mmet,255.466200426,39,0.995316757403 +/- 0.00427156737943
pfmet_uncorrected,355679,mmet,608.668435384,36,0.932808527558 +/- 0.0101715221436
pfmet_uncorrected,355680,mmet,5967.48555723,39,0.984545878052 +/- 0.00159677769824
pfmet_uncorrected,355768,mmet,76.8638891108,34,0.992728220145 +/- 0.00997621779511
pfmet_uncorrected,355769,mmet,933.565044124,39,0.992822705547 +/- 0.00276276497356
pfmetphi_uncorrected,355443,mmet,2232.02509148,39,0.855942617046 +/- 0.0074325963769
pfmetphi_uncorrected,355444,mmet,1520.92341583,39,0.850420592463 +/- 0.00914532439808
pfmetphi_uncorrected,355445,mmet,1618.511458,39,0.869569549682 +/- 0.00837112388996
pfmetphi_uncorrected,355558,mmet,14671.928061,39,0.845018664388 +/- 0.00298764681467
pfmetphi_uncorrected,355559,mmet,8076.43997834,39,0.851898117134 +/- 0.00395242951893
pfmetphi_uncorrected,355679,mmet,743.413842786,39,0.917554192882 +/- 0.0100875297193
pfmetphi_uncorrected,355680,mmet,38190.2553349,39,0.901094312417 +/- 0.00152763456536
pfmetphi_uncorrected,355768,mmet,1419.64462107,39,0.857708266907 +/- 0.00927192290551
pfmetphi_uncorrected,355769,mmet,20239.9023069,39,0.844388643492 +/- 0.00254793080867
pt_1_pos,355443,mmet,41.0419299433,30,0.996202037058 +/- 0.0107762348273
pt_1_pos,355444,mmet,49.5504198631,32,0.991959627862 +/- 0.01331585453
pt_1_pos,355445,mmet,69.0696734417,33,0.990617059549 +/- 0.011983137134
pt_1_pos,355558,mmet,215.667255975,39,0.995861307696 +/- 0.00437158465577
pt_1_pos,355559,mmet,138.053300655,39,0.995427184476 +/- 0.00574213226573
pt_1_pos,355679,mmet,29.5475404861,30,0.995104001217 +/- 0.0141288829295
pt_1_pos,355680,mmet,587.520112491,39,0.997256232867 +/- 0.00215807053538
pt_1_pos,355768,mmet,53.0224533158,32,0.991816051892 +/- 0.0132183668706
pt_1_pos,355769,mmet,225.477061249,39,0.996870373633 +/- 0.00371975561262
pt_1_neg,355443,mmet,53.4812322756,34,0.992775426753 +/- 0.0119929466599
pt_1_neg,355444,mmet,60.3671917572,33,0.987401589622 +/- 0.014697068193
pt_1_neg,355445,mmet,58.6251134535,36,0.989603326531 +/- 0.0134068779342
pt_1_neg,355558,mmet,234.2346925,39,0.994495071857 +/- 0.00483449967604
pt_1_neg,355559,mmet,181.696251957,38,0.992627744744 +/- 0.00638675355493
pt_1_neg,355679,mmet,30.4590630593,31,0.993617920622 +/- 0.0157133448721
pt_1_neg,355680,mmet,797.86204765,39,0.995360511899 +/- 0.00240581003826
pt_1_neg,355768,mmet,46.9367763263,28,0.990979297684 +/- 0.0152026040757
pt_1_neg,355769,mmet,393.116678702,39,0.993222710478 +/- 0.00413800113167
eta_1_pos,355443,mmet,50.2715146337,39,0.994149713181 +/- 0.0107560667791
eta_1_pos,355444,mmet,70.1972263156,39,0.987467019047 +/- 0.0132778730892
eta_1_pos,355445,mmet,58.2071614216,39,0.991571508627 +/- 0.0119825357316
eta_1_pos,355558,mmet,211.360284277,39,0.995946759401 +/- 0.00437026287835
eta_1_pos,355559,mmet,125.731824949,39,0.995838899095 +/- 0.00574084812048
eta_1_pos,355679,mmet,73.9962493831,39,0.985180002126 +/- 0.0140467874462
eta_1_pos,355680,mmet,552.758573113,39,0.997420078164 +/- 0.0021576181354
eta_1_pos,355768,mmet,74.2884629294,39,0.986932548297 +/- 0.0131758457364
eta_1_pos,355769,mmet,235.579383169,39,0.996732194266 +/- 0.00371833674306
eta_1_neg,355443,mmet,32.9217031301,39,0.995235643541 +/- 0.0120011796546
eta_1_neg,355444,mmet,49.7202109084,39,0.989136943214 +/- 0.0147006912039
eta_1_neg,355445,mmet,43.2248480039,39,0.992153776002 +/- 0.0134200183171
eta_1_neg,355558,mmet,176.018285427,39,0.995867339279 +/- 0.00483544811695
eta_1_neg,355559,mmet,73.6685761096,39,0.996975217569 +/- 0.00639805714187
