variable,run,channel,chi2,dof,p_0
pt_vis,355769,mm,148.966889463,39,0.984774438935 +/- 0.0100325229456
nTrackerLayers_1_endcap,355443,mm,5.86951133715,10,0.988453165603 +/- 0.0450167148467
nTrackerLayers_1_endcap,355444,mm,7.22001332086,10,0.979788920623 +/- 0.0529979669416
nTrackerLayers_1_endcap,355445,mm,4.60610312152,10,0.989079912313 +/- 0.0494915060259
nTrackerLayers_1_endcap,355558,mm,33.6564066494,12,0.988903261903 +/- 0.0180567963327
nTrackerLayers_1_endcap,355559,mm,28.1519102201,12,0.983556127208 +/- 0.0239688773965
nTrackerLayers_1_endcap,355679,mm,12.6449044658,10,0.947330997373 +/- 0.0631056227349
nTrackerLayers_1_endcap,355680,mm,75.2463932133,12,0.9937622156 +/- 0.00907639893483
nTrackerLayers_1_endcap,355768,mm,8.59597085176,10,0.971914764637 +/- 0.0568377010393
nTrackerLayers_1_endcap,355769,mm,25.9136633052,12,0.993477557688 +/- 0.0158131994244
nTrackerLayers_2_endcap,355443,mm,8.7636557876,11,0.981578325097 +/- 0.045557028712
nTrackerLayers_2_endcap,355444,mm,23.5792055762,11,0.930339634891 +/- 0.0524669589999
nTrackerLayers_2_endcap,355445,mm,9.47180487042,10,0.975741299891 +/- 0.0504862359833
nTrackerLayers_2_endcap,355558,mm,21.5684339303,12,0.993010876886 +/- 0.0179382074381
nTrackerLayers_2_endcap,355559,mm,18.2162067556,11,0.989315383534 +/- 0.0242105492155
nTrackerLayers_2_endcap,355679,mm,9.84051666011,10,0.965400744928 +/- 0.0603187607384
nTrackerLayers_2_endcap,355680,mm,76.7498021647,12,0.993672728593 +/- 0.00905088996272
nTrackerLayers_2_endcap,355768,mm,10.8865082247,9,0.969665672759 +/- 0.0556037622233
nTrackerLayers_2_endcap,355769,mm,29.0575491271,12,0.992795053527 +/- 0.0156897379961
nStations_1_endcap,355443,mm,18.3354693881,3,0.962427316828 +/- 0.0444093134899
nStations_1_endcap,355444,mm,20.6902017168,3,0.940715754393 +/- 0.051917825593
nStations_1_endcap,355445,mm,9.48350072724,3,0.976525988299 +/- 0.0491644539825
nStations_1_endcap,355558,mm,138.706806874,3,0.954267455696 +/- 0.017737763141
nStations_1_endcap,355559,mm,84.1464539231,3,0.950849033923 +/- 0.0235669784463
nStations_1_endcap,355679,mm,11.2759905797,2,0.956352077697 +/- 0.0635139392299
nStations_1_endcap,355680,mm,408.574858305,3,0.966129913097 +/- 0.00894932130079
nStations_1_endcap,355768,mm,12.5469653074,3,0.958315729876 +/- 0.0564249341068
nStations_1_endcap,355769,mm,146.428691802,3,0.963144049383 +/- 0.0155699185386
nStations_2_endcap,355443,mm,21.8007978205,3,0.95390951835 +/- 0.0449079283213
nStations_2_endcap,355444,mm,18.4023591025,2,0.949202887024 +/- 0.0530954453635
nStations_2_endcap,355445,mm,8.86971662606,3,0.97684147095 +/- 0.0505024744359
nStations_2_endcap,355558,mm,139.657741766,3,0.954744736952 +/- 0.0175891833343
nStations_2_endcap,355559,mm,85.5076133791,3,0.949343830937 +/- 0.0237151319369
nStations_2_endcap,355679,mm,14.7691445842,3,0.944476900059 +/- 0.0595874570511
nStations_2_endcap,355680,mm,423.188325254,3,0.96511225678 +/- 0.00891986979885
nStations_2_endcap,355768,mm,14.5933956613,2,0.957350808275 +/- 0.0552352558701
nStations_2_endcap,355769,mm,146.986247118,3,0.963554116757 +/- 0.0154569550735
